x,AM0,AM0C,AM15,AM15C,
982,7.79E-01,1040.550368,6.51E-01,667.8745316,\\
983,7.75E-01,1041.325368,6.29E-01,668.5035316,\\
984,7.69E-01,1042.094368,6.93E-01,669.1965316,\\
985,7.71E-01,1042.865368,6.47E-01,669.8435316,\\
986,7.66E-01,1043.631368,7.06E-01,670.5495316,\\
987,7.66E-01,1044.397368,6.95E-01,671.2445316,\\
988,7.64E-01,1045.161368,6.91E-01,671.9355316,\\
989,7.55E-01,1045.916368,7.04E-01,672.6395316,\\
990,7.57E-01,1046.673368,6.88E-01,673.3275316,\\
991,7.62E-01,1047.435368,7.08E-01,674.0355316,\\
992,7.57E-01,1048.192368,7.06E-01,674.7415316,\\
993,7.56E-01,1048.948368,6.93E-01,675.4345316,\\
994,7.59E-01,1049.707368,7.09E-01,676.1435316,\\
995,7.54E-01,1050.461368,7.07E-01,676.8505316,\\
996,7.53E-01,1051.214368,7.04E-01,677.5545316,\\
997,7.43E-01,1051.957368,6.96E-01,678.2505316,\\
998,7.43E-01,1052.700368,6.95E-01,678.9455316,\\
999,7.42E-01,1053.442368,6.95E-01,679.6405316,\\
1000,7.43E-01,1054.185368,6.92E-01,680.3325316,\\
1001,7.47E-01,1054.932368,7.00E-01,681.0325316,\\
1002,7.47E-01,1055.679368,6.85E-01,681.7175316,\\
1003,7.38E-01,1056.417368,6.91E-01,682.4085316,\\
1004,7.31E-01,1057.148368,6.81E-01,683.0895316,\\
1005,6.84E-01,1057.832368,6.41E-01,683.7305316,\\
1006,7.18E-01,1058.550368,6.70E-01,684.4005316,\\
1007,7.31E-01,1059.281368,6.85E-01,685.0855316,\\
1008,7.33E-01,1060.014368,6.84E-01,685.7695316,\\
1009,7.29E-01,1060.743368,6.77E-01,686.4465316,\\
1010,7.31E-01,1061.474368,6.77E-01,687.1235316,\\
1011,7.26E-01,1062.200368,6.80E-01,687.8035316,\\
1012,7.25E-01,1062.925368,6.77E-01,688.4805316,\\
1013,7.20E-01,1063.645368,6.76E-01,689.1565316,\\
1014,7.23E-01,1064.368368,6.78E-01,689.8345316,\\
1015,7.11E-01,1065.079368,6.67E-01,690.5015316,\\
1016,7.14E-01,1065.793368,6.70E-01,691.1715316,\\
1017,7.07E-01,1066.500368,6.62E-01,691.8335316,\\
1018,7.16E-01,1067.216368,6.73E-01,692.5065316,\\
1019,6.96E-01,1067.912368,6.49E-01,693.1555316,\\
1020,7.01E-01,1068.613368,6.58E-01,693.8135316,\\
1021,7.03E-01,1069.316368,6.61E-01,694.4745316,\\
1022,6.93E-01,1070.009368,6.50E-01,695.1245316,\\
1023,6.99E-01,1070.708368,6.55E-01,695.7795316,\\
1024,7.01E-01,1071.409368,6.51E-01,696.4305316,\\
1025,6.99E-01,1072.108368,6.57E-01,697.0875316,\\
1026,6.99E-01,1072.807368,6.56E-01,697.7435316,\\
1027,6.96E-01,1073.503368,6.53E-01,698.3965316,\\
1028,6.97E-01,1074.200368,6.54E-01,699.0505316,\\
1029,6.90E-01,1074.890368,6.47E-01,699.6975316,\\
1030,6.92E-01,1075.582368,6.51E-01,700.3485316,\\
1031,6.90E-01,1076.272368,6.48E-01,700.9965316,\\
1032,6.90E-01,1076.962368,6.49E-01,701.6455316,\\
1033,6.78E-01,1077.640368,6.38E-01,702.2835316,\\
1034,6.82E-01,1078.322368,6.41E-01,702.9245316,\\
1035,6.84E-01,1079.006368,6.43E-01,703.5675316,\\
1036,6.84E-01,1079.690368,6.43E-01,704.2105316,\\
1037,6.77E-01,1080.367368,6.37E-01,704.8475316,\\
1038,6.74E-01,1081.041368,6.34E-01,705.4815316,\\
1039,6.79E-01,1081.720368,6.38E-01,706.1195316,\\
1040,6.74E-01,1082.394368,6.34E-01,706.7535316,\\
1041,6.75E-01,1083.069368,6.34E-01,707.3875316,\\
1042,6.75E-01,1083.744368,6.34E-01,708.0215316,\\
1043,6.69E-01,1084.413368,6.28E-01,708.6495316,\\
1044,6.72E-01,1085.085368,6.31E-01,709.2805316,\\
1045,6.68E-01,1085.753368,6.27E-01,709.9075316,\\
1046,6.51E-01,1086.404368,6.11E-01,710.5185316,\\
1047,6.62E-01,1087.066368,6.20E-01,711.1385316,\\
1048,6.68E-01,1087.734368,6.26E-01,711.7645316,\\
1049,6.65E-01,1088.399368,6.22E-01,712.3865316,\\
1050,6.61E-01,1089.060368,6.18E-01,713.0045316,\\
1051,6.62E-01,1089.722368,6.19E-01,713.6235316,\\
1052,6.58E-01,1090.380368,6.15E-01,714.2385316,\\
1053,6.57E-01,1091.037368,6.13E-01,714.8515316,\\
1054,6.55E-01,1091.692368,6.10E-01,715.4615316,\\
1055,6.58E-01,1092.350368,6.12E-01,716.0735316,\\
1056,6.56E-01,1093.006368,6.11E-01,716.6845316,\\
1057,6.55E-01,1093.661368,6.09E-01,717.2935316,\\
1058,6.49E-01,1094.310368,6.03E-01,717.8965316,\\
1059,6.30E-01,1094.940368,5.85E-01,718.4815316,\\
1060,6.48E-01,1095.588368,6.01E-01,719.0825316,\\
1061,6.34E-01,1096.222368,5.87E-01,719.6695316,\\
1062,6.47E-01,1096.869368,5.98E-01,720.2675316,\\
1063,6.37E-01,1097.506368,5.88E-01,720.8555316,\\
1064,6.46E-01,1098.152368,5.97E-01,721.4525316,\\
1065,6.45E-01,1098.797368,5.95E-01,722.0475316,\\
1066,6.31E-01,1099.428368,5.83E-01,722.6305316,\\
1067,6.35E-01,1100.063368,5.86E-01,723.2165316,\\
1068,6.36E-01,1100.699368,5.86E-01,723.8025316,\\
1069,6.01E-01,1101.300368,5.54E-01,724.3565316,\\
1070,6.22E-01,1101.922368,5.72E-01,724.9285316,\\
1071,6.28E-01,1102.550368,5.83E-01,725.5115316,\\
1072,6.31E-01,1103.181368,5.82E-01,726.0935316,\\
1073,6.18E-01,1103.799368,5.71E-01,726.6645316,\\
1074,6.31E-01,1104.430368,5.88E-01,727.2525316,\\
1075,6.18E-01,1105.048368,5.61E-01,727.8135316,\\
1076,6.25E-01,1105.673368,5.81E-01,728.3945316,\\
1077,6.24E-01,1106.297368,5.72E-01,728.9665316,\\
1078,6.25E-01,1106.922368,5.71E-01,729.5375316,\\
1079,6.12E-01,1107.534368,5.72E-01,730.1095316,\\
1080,6.23E-01,1108.157368,5.65E-01,730.6745316,\\
1081,6.07E-01,1108.764368,5.50E-01,731.2245316,\\
1082,6.02E-01,1109.366368,5.58E-01,731.7825316,\\
1083,6.09E-01,1109.975368,5.66E-01,732.3485316,\\
1084,6.14E-01,1110.589368,5.48E-01,732.8965316,\\
1085,6.12E-01,1111.201368,5.62E-01,733.4585316,\\
1086,6.16E-01,1111.817368,5.25E-01,733.9835316,\\
1087,5.91E-01,1112.408368,5.37E-01,734.5205316,\\
1088,6.07E-01,1113.015368,5.62E-01,735.0825316,\\
1089,6.09E-01,1113.624368,5.49E-01,735.6315316,\\
1090,6.04E-01,1114.228368,5.27E-01,736.1585316,\\
1091,6.08E-01,1114.836368,5.57E-01,736.7155316,\\
1092,5.97E-01,1115.433368,5.50E-01,737.2655316,\\
1093,5.92E-01,1116.025368,4.84E-01,737.7495316,\\
1094,5.61E-01,1116.586368,5.11E-01,738.2605316,\\
1095,5.83E-01,1117.169368,4.94E-01,738.7545316,\\
