P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
790,30.886,94.86,112.084,129.308,146.532,163.756,180.98,198.204,215.428,232.652,249.876,267.1,0.35208,0.40873,0.46538,0.52203,0.57868,0.63533,0.69198,0.74863,0.80528,0.86193,0.91858
800,31.327,95.5,112.681,129.862,147.043,164.224,181.405,198.586,215.767,232.948,250.129,267.31,0.35408,0.41051,0.46694,0.52337,0.5798,0.63623,0.69266,0.74909,0.80552,0.86195,0.91838
810,31.765,96.13,113.269,130.408,147.547,164.686,181.825,198.964,216.103,233.242,250.381,267.52,0.35618,0.41239,0.4686,0.52481,0.58102,0.63723,0.69344,0.74965,0.80586,0.86207,0.91828
820,32.198,96.76,113.857,130.954,148.051,165.148,182.245,199.342,216.439,233.536,250.633,267.73,0.35818,0.41417,0.47016,0.52615,0.58214,0.63813,0.69412,0.75011,0.8061,0.86209,0.91808
830,32.627,97.38,114.435,131.49,148.545,165.6,182.655,199.71,216.765,233.82,250.875,267.93,0.36028,0.41605,0.47182,0.52759,0.58336,0.63913,0.6949,0.75067,0.80644,0.86221,0.91798
840,33.052,98.01,115.022,132.034,149.046,166.058,183.07,200.082,217.094,234.106,251.118,268.13,0.36228,0.41784,0.4734,0.52896,0.58452,0.64008,0.69564,0.7512,0.80676,0.86232,0.91788
850,33.473,98.62,115.591,132.562,149.533,166.504,183.475,200.446,217.417,234.388,251.359,268.33,0.36418,0.41953,0.47488,0.53023,0.58558,0.64093,0.69628,0.75163,0.80698,0.86233,0.91768
860,33.891,99.23,116.159,133.088,150.017,166.946,183.875,200.804,217.733,234.662,251.591,268.52,0.36618,0.42132,0.47646,0.5316,0.58674,0.64188,0.69702,0.75216,0.8073,0.86244,0.91758
870,34.305,99.84,116.728,133.616,150.504,167.392,184.28,201.168,218.056,234.944,251.832,268.72,0.36808,0.42301,0.47794,0.53287,0.5878,0.64273,0.69766,0.75259,0.80752,0.86245,0.91738
880,34.715,100.44,117.287,134.134,150.981,167.828,184.675,201.522,218.369,235.216,252.063,268.91,0.37008,0.4248,0.47952,0.53424,0.58896,0.64368,0.6984,0.75312,0.80784,0.86256,0.91728
890,35.123,101.04,117.846,134.652,151.458,168.264,185.07,201.876,218.682,235.488,252.294,269.1,0.37198,0.42649,0.481,0.53551,0.59002,0.64453,0.69904,0.75355,0.80806,0.86257,0.91708
