days,T,bt15_5,bt18_5
28.41666667,14.56666667,15.5,18.5
28.45833333,15.21666667,15.5,18.5
28.5,15.76666667,15.5,18.5
28.54166667,14.86666667,15.5,18.5
28.58333333,12.16666667,15.5,18.5
28.625,11.2,15.5,18.5
28.66666667,9.4,15.5,18.5
28.70833333,8.916666667,15.5,18.5
28.75,8.766666667,15.5,18.5
28.79166667,9.15,15.5,18.5
28.83333333,9.3,15.5,18.5
28.875,9.25,15.5,18.5
28.91666667,9.083333333,15.5,18.5
28.95833333,9.183333333,15.5,18.5
29,9.083333333,15.5,18.5
29.04166667,8.8,15.5,18.5
29.08333333,9.133333333,15.5,18.5
29.125,9.2,15.5,18.5
29.16666667,9.1,15.5,18.5
29.20833333,8.833333333,15.5,18.5
29.25,9.816666667,15.5,18.5
29.29166667,12.65,15.5,18.5
29.33333333,15.55,15.5,18.5
29.375,16.13333333,15.5,18.5
29.41666667,16.5,15.5,18.5
29.45833333,16.8,15.5,18.5
29.5,16.18333333,15.5,18.5
29.54166667,15.46666667,15.5,18.5
29.58333333,14.73333333,15.5,18.5
29.625,13.08333333,15.5,18.5
29.66666667,11.1,15.5,18.5
29.70833333,9.733333333,15.5,18.5
29.75,8.866666667,15.5,18.5
29.79166667,8.566666667,15.5,18.5
29.83333333,8.4,15.5,18.5
29.875,8.516666667,15.5,18.5
29.91666667,8.383333333,15.5,18.5
29.95833333,8.5,15.5,18.5
30,8.6,15.5,18.5
30.04166667,8.733333333,15.5,18.5
30.08333333,8.783333333,15.5,18.5
30.125,9,15.5,18.5
30.16666667,9.316666667,15.5,18.5
30.20833333,9.4,15.5,18.5
30.25,9.616666667,15.5,18.5
30.29166667,9.283333333,15.5,18.5
30.33333333,9.283333333,15.5,18.5
30.375,9.466666667,15.5,18.5
30.41666667,9.966666667,15.5,18.5
30.45833333,10.6,15.5,18.5
30.5,11.66666667,15.5,18.5
30.54166667,11.21666667,15.5,18.5
30.58333333,10.98333333,15.5,18.5
30.625,10.3,15.5,18.5
30.66666667,9.516666667,15.5,18.5
30.70833333,8.833333333,15.5,18.5
30.75,8.45,15.5,18.5
30.79166667,8.2,15.5,18.5
30.83333333,7.683333333,15.5,18.5
30.875,7.7,15.5,18.5
30.91666667,7.683333333,15.5,18.5
30.95833333,7.716666667,15.5,18.5
31,7.716666667,15.5,18.5
31,0,15.5,18.5
